GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
IT_009026;9026;Cosseria;Carcare;ITA;Italy;2005;44.367;8.283;3242.136993;0;4735.260788;17.7357145;1168.005016;99.92723309;0.075608244;0.593519826;2.849911931;0.128697727;1.252082604;37956.20313;20290
IT_009029;9029;Finale Ligure;Finale Ligure;ITA;Italy;2005;44.17;8.34;3242.136993;0;15031.05954;17.10250025;11278.85445;361.0870318;0.07399143;0.585473791;2.826516012;0.125129516;1.236488592;37956.20313;47747
IT_009034;9034;Loano;Loano;ITA;Italy;2005;44.13;8.26;3242.136993;0;12728.5536;17.54666697;11612.68483;951.6286605;0.070299712;0.576573998;2.819543816;0.11653478;1.196769498;37956.20313;45304
IT_009038;9038;Millesimo;Mi.ce.ro.;ITA;Italy;2005;44.36;8.21;3242.136993;0;1950.928329;17.34117654;2790.728287;174.4629587;0.075608244;0.593519826;2.849911931;0.128697727;1.252082604;37956.20313;23438
IT_009049;9049;Pietra Ligure;Pietra Ligure;ITA;Italy;2007;44.15;8.28;3001.982483;0;7325.965004;14.53846154;7411.530373;1022.340455;0.064326977;0.740639021;3.091179858;0.107114229;1.199494245;39476.46094;44387
IT_009050;9050;Plodio;Plodio;ITA;Italy;2005;44.35;8.25;3242.136993;0;2341.103596;17.43333308;683.1177018;79.29802537;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;1602
IT_009052;9052;Quiliano;Quiliano;ITA;Italy;2005;44.29;8.41;3242.136993;0;20163.62212;18.66666653;7004.925787;143.9454698;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;17501
IT_009053;9053;Rialto;Rialto;ITA;Italy;2005;44.22;8.27;3242.136993;0;2920.495426;16.78260878;536.9142773;27.20651397;0.110768821;0.881644583;4.258501505;0.187195962;1.851088514;37956.20313;1099
IT_009055;9055;Sassello;District of Sassello;ITA;Italy;2005;44.48;8.49;3330.20433;0;7385.757702;18.78749999;1821.854637;18.3164088;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;38953.77734;12065
IT_009056;9056;Savona;Savona;ITA;Italy;2005;44.31;8.48;3242.136993;0;54915.94938;18.87638892;57273.83845;932.1560117;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;212234
IT_009056;9056;Savona;Savona;ITA;Italy;2011;44.31;8.48;2694.909363;0;29947.41336;20.76944436;57702.85656;939.0789767;0.049448717;0.292535458;1.688364559;0.077357349;0.676888115;38325.91016;193522
IT_009058;9058;Stella;Stella;ITA;Italy;2005;44.39;8.5;3242.136993;0;7080.20565;18.72244889;3027.088135;69.33546418;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;6698
IT_009062;9062;Tovo San Giacomo;Tovo San Giacomo;ITA;Italy;2005;44.18;8.27;3242.136993;0;6328.670395;17.07777807;2254.723002;228.3444638;0.035160577;0.288124757;1.408589574;0.058498235;0.59900591;37956.20313;5455
IT_009064;9064;Vado Ligure;Vado Ligure;ITA;Italy;2005;44.267;8.433;3242.136993;0;3199385.79;18.71923073;7980.673935;344.380354;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;29098
IT_010001;10001;Arenzano;Arenzano;ITA;Italy;2005;44.4;8.68;3242.136993;0;8721.864761;19.08275874;11396.44;526.6126996;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;48201
IT_010003;10003;Bargagli;Bargagli;ITA;Italy;2005;44.44;9.09;3170.094421;0;2024.704643;18.08333355;2563.615707;166.9033071;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;8510
IT_010005;10005;Borzonasca;Bettola;ITA;Italy;2010;44.46;9.36;2801.819412;0;3933.006126;15.5585107;2101.689751;26.11435309;0.081885063;0.579799055;3.416969217;0.105627328;1.259268856;38134.08203;12785
IT_010007;10007;Camogli;Camogli;ITA;Italy;2005;44.35;9.16;3170.094421;0;4778.952686;17.78181822;5479.603366;629.4997386;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;25725
IT_010008;10008;Campo Ligure;Valli S.O.L. (Stura, Orba e Leira);ITA;Italy;2005;44.54;8.7;3370.687012;0;3103.733418;19.34999957;3126.770785;130.7012283;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;38953.77734;46066
IT_010011;10011;Casarza Ligure;Casarza Ligure;ITA;Italy;2005;44.27;9.45;3052.807007;0;5214.086773;16.3156243;6286.747203;217.0904636;0.078042116;0.591367468;2.802531179;0.135138212;1.274170679;37956.20313;17377
IT_010017;10017;Cogoleto;Cogoleto;ITA;Italy;2005;44.39;8.64;3242.136993;0;6911.691055;18.97916659;5737.594583;296.3567312;0.038830853;0.297349033;1.417926438;0.06663128;0.637482682;37956.20313;29773
