GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
BE_12021;12021;Lier / Lierre;Lier;BEL;Belgium;2020;51.13;4.57;5374.237618;NA;78611.57814;25.97754317;35255.99667;679.8541454;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;50942.21006;NA
BE_12025;12025;Mechelen / Malines;Mechelen;BEL;Belgium;2020;51.03;4.48;5356.813053;NA;133454.7091;24.65136482;81075.55733;1273.909066;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;56752.88563;NA
BE_12026;12026;Nijlen;Nijlen;BEL;Belgium;2020;51.16;4.67;5374.237618;NA;33634.07793;15.39215354;22209.81476;571.4390204;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;50942.21006;NA
BE_12030;12030;Puurs;Puurs;BEL;Belgium;2020;51.08;4.28;5331.597968;NA;60955.97914;27.53263488;22270.08279;676.5260546;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;48747.35955;NA
BE_12035;12035;Sint-Katelijne-Waver;Sint-Katelijne-Waver;BEL;Belgium;2020;51.07;4.54;5374.237618;NA;91044.60483;24.38487029;22146.7294;603.3368898;0.16067204;0.461343803;3.834556607;0.543814344;1.525263721;50942.21006;NA
BE_12040;12040;Willebroek;Willebroek;BEL;Belgium;2020;51.06;4.36;5352.917793;NA;50357.9709;28.02562658;31550.1395;1151.459112;0.079064379;0.235346804;1.890785412;0.258674365;0.757857591;50942.21006;NA
BE_13001;13001;Arendonk;Arendonk;BEL;Belgium;2020;51.32;5.09;5389.924654;NA;28469.57884;25.41167198;15514.26759;277.7600148;0.182976729;0.410816194;3.918253573;0.710367693;1.639723672;52271.4884;NA
BE_13003;13003;Balen;Balen;BEL;Belgium;2020;51.17;5.17;5389.924654;NA;43332.74635;26.41370197;25145.54704;355.6411964;0.16581861;0.446828711;3.911024481;0.594085096;1.53988398;44849.25548;NA
BE_13004;13004;Beerse;Beerse;BEL;Belgium;2020;51.31;4.85;5374.237618;NA;54806.42279;17.5823505;18109.06506;470.6876655;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;52452.00477;NA
BE_13006;13006;Dessel;Dessel;BEL;Belgium;2020;51.24;5.11;5389.924654;NA;19869.94729;30.05412241;9566.194992;359.1210411;0.182976729;0.410816194;3.918253573;0.710367693;1.639723672;52452.00477;NA
